ref,Timestamp,Ref,Class,Order,Family,Subfamily,Tribe,Genera,Species,LifeStage,Method,Number_caught
NCVZR8011,27/2/25 10:53,SJ13L05L02,Insecta,Coleoptera,Tenebrionidae,Blaptinae,Opatrini,Calaharena,dutoiti,Larva,three-stratified subterranean,1
NCVZR8012,27/2/25 07:52,SL15L01L02,Insecta,Coleoptera,Scarabaeidae,Scarabaeinae,Unidentified,Unidentified,Unidentified,Larva,double-stratified subterranean,1
NCVZR8013,27/2/25 11:02,SJ13L01L02,Insecta,Blattodea,Corydiidae,Euthyrrhaphinae,Tiviini,Tivia,sp. 1,Adult,double-stratified subterranean,1
NCVZR8014,27/2/25 07:52,SL15L01L01,Insecta,Coleoptera,Tenebrionidae,Blaptinae,Opatrini,Calaharena,dutoiti,Larva,double-stratified subterranean,1
NCVZR8015,27/2/25 09:33,SL17L01L01,Arachnida,Araneae,Gnaphosidae,Unidentified,Unidentified,Asemesthes,Unidentified,Juv.,double-stratified subterranean,2
NCVZR8016,27/2/25 07:43,SL15L05L01,Insecta,Coleoptera,Tenebrionidae,Blaptinae,Opatrini,Calaharena,dutoiti,Adult,three-stratified subterranean,1
NCVZR8017,27/2/25 08:36,SO18L05L02,Insecta,Diptera,Asilidae,Unidentified,Unidentified,Unidentified,sp. 1,Larva,three-stratified subterranean,1
NCVZR8018,27/2/25 07:43,SL15L05L01,Insecta,Coleoptera,Tenebrionidae,Blaptinae,Opatrini,Calaharena,dutoiti,Adult,three-stratified subterranean,1
NCVZR8019,27/2/25 10:13,SJ15L05L01,Insecta,Diptera,Asilidae,Unidentified,Unidentified,Unidentified,sp. 2,Larva,three-stratified subterranean,1
NCVZR8020,20/2/25 08:42,SQ17L01L02,Insecta,Diptera,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Larva,double-stratified subterranean,1
NCVZR8021,20/2/25 08:42,SQ17L01L02,Insecta,Coleoptera,Scarabaeidae,Scarabaeinae,Unidentified,Unidentified,Unidentified,Larva,double-stratified subterranean,1
NCVZR8022,20/2/25 10:24,SD15L05L02,Insecta,Coleoptera,Tenebrionidae,Blaptinae,Opatrini,Calaharena,dutoiti,Adult,three-stratified subterranean,1
NCVZR8023,20/2/25 10:24,SD15L05L03,Insecta,Coleoptera,Tenebrionidae,Blaptinae,Opatrini,Calaharena,dutoiti,Adult,three-stratified subterranean,1
NCVZR8024,20/2/25 10:47,SH15L01L02,Insecta,Coleoptera,Scarabaeidae,Scarabaeinae,Unidentified,Unidentified,Unidentified,Larva,double-stratified subterranean,1
NCVZR8025,20/2/25 07:42,SK18L01L01,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,three-stratified subterranean,1
NCVZR8026,20/2/25 08:42,SQ17L01L01,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,double-stratified subterranean,1
NCVZR8027,20/2/25 10:47,SH15L01L01,Insecta,Coleoptera,Scarabaeidae,Scarabaeinae,Unidentified,Unidentified,Unidentified,Larva,double-stratified subterranean,1
NCVZR8028,20/2/25 09:12,SP15L05L02,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,three-stratified subterranean,1
NCVZR8029,20/2/25 10:45,SH15L05L03,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,three-stratified subterranean,1
NCVZR8242,29/2/24 10:34,SH15L05L01,Insecta,Coleoptera,Carabidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,double-stratified subterranean,1
NCVZR8243,29/2/24 10:34,SH15L05L01,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,double-stratified subterranean,1
